,Distance,Orientation,Displacement
0,39.981243190262,158.85911060535378,126.88085679571844
1,62.35890747195913,36.39911713069003,127.70151846778865
2,46.20013545704248,156.50701806256234,16.50438741053381
3,11.111550148768172,25.58008813881445,81.42103061868247
4,49.92539850473323,125.49344854250808,95.97163520033223
5,43.57476737916328,33.04281750000767,121.45403512348153
6,44.67250419765583,66.154659447196,77.2059526483395
7,22.470517256868522,78.10048788769599,147.75930279980497
8,47.473640226895135,109.92671930484155,139.9934006693686
9,40.04290463702897,71.54185320620279,114.72904887650076
10,48.87854608117684,69.47314453354157,115.17392449616882
11,49.793502998928936,32.80849106915292,92.40582209733824
12,20.57222966474057,97.36551484712915,165.642625709923
13,25.06896304668021,112.58568356249579,81.97025124250987
14,32.639453029465294,61.87671404345036,127.563275499448
15,43.679018402667914,53.29300837019483,60.27522789707226
16,27.13088593225126,20.23216242904634,114.54970865736392
17,39.10798364563399,125.10471481057881,84.07523046089396
18,38.702032304860445,71.70528659947954,72.17449591199914
19,63.899924837954366,50.818753094094504,98.10454171723595
20,181.404817966998,125.51268237709478,144.82076979088382
21,38.247098417605415,61.339032870873154,55.634175327686904
22,59.00206985343351,28.59085792871996,74.0869449371822
23,33.4469049165128,98.27725640054095,89.64595684260915
24,41.343909656997944,80.23720492530198,133.86573069832474
25,33.116665614017805,107.87802217896301,107.86933632235545
26,42.337033737674076,113.93515949869233,95.98389957950799
27,26.574688422010762,70.49574692742713,94.18393351532958
28,51.010161718310236,72.614333481469,128.15875286524
29,49.44665043668015,122.16233203726999,105.52603489707043
30,63.695968588883105,98.61302336931502,131.69820995362315
31,26.158759580482666,43.29718276309748,136.16346471143083
32,47.301064566815015,105.52776780379719,104.11569527971581
33,11.111550148768172,25.58008813881445,84.41511650789562
34,51.12597887316139,151.10787844060522,95.11726714787149
35,14.902165160332899,116.42525836677405,14.421715767479421
36,19.923585575971245,90.59833947266499,110.8080073647445
37,34.77747377362825,78.62928929874278,113.05945893458806
38,61.728263750242355,58.55599017994955,43.27230531761436
39,40.8233631864798,68.55552972852894,61.594671912339535
40,58.49970703999117,95.01084736577218,78.84073125695824
41,46.871214147540584,78.74523915096789,135.80038608523893
42,28.881248615539135,107.29938849054523,18.821594385656407
43,4.649403309056745,96.99363216911424,77.41833164841762
44,65.43972034171884,42.18278739340159,34.676933283146234
45,44.92865072373881,123.15475756832083,100.03272864924315
46,40.954193749577854,96.64761254406868,133.80682661513026
47,49.6026231994735,103.8647448381422,59.867135937438036
48,69.20807542100059,56.263333519624645,125.45591322627172
49,32.115765948527255,75.04488389449563,115.92879211889687
50,51.11725878598548,95.1608079285288,37.50705460087138
51,14.419895148539858,89.1284471894126,68.788761041161
